company,date_announced,date_reported,jobs_cut_sg,jobs_cut_global,pct_workforce,industry,source_link,notes,status,event_id
Crypto.com,2023-01-13,2023-01-13,,,,Finance,https://web.archive.org/web/20260522051009/https://techcrunch.com/2023/01/12/crypto-com-cuts-20-jobs-amid-unforeseeable-industry-events/,Significant global cuts including Singapore office,confirmed,crypto-com-2023-01
Crypto.com,2026-03-19,2026-03-19,,,,Finance,https://web.archive.org/web/20260506001104/https://www.straitstimes.com/singapore/singapore-based-crypto-com-lays-off-12-of-staff-third-cut-in-four-years,12% of staff cut in 2026 round,confirmed,crypto-com-2026-03
Crypto.com,2022-06-14,2022-06-14,,260,,Finance,https://news.google.com/rss/articles/CBMiowFBVV95cUxQYVdJbUJTU0Q4VW16NDctWlU0WEpwcFdMbTNualdIUmJMZ0JOeDFEeXVxTVpUbzd1VkZrcFdmVFg1a1RGUHRTSm9kXzZQRlZsYUdXNGJOejNZT2xmLTRvTDAxVzZiWGQ3cnpYTGtOTHdqaTRxd0QwbVQzc2g5WE50MVdtZDg3TGF5YkpFZlBsNWVLVkRIOXptMW1rWkRVNGFrRjlR?oc=5,"Singapore-based crypto exchange Crypto.com slashed 260 jobs amid industry downturn, as reported by Yahoo Finance. The layoffs are confirmed and the company is identifiable.",confirmed,crypto-com-2022-06
Foodpanda,2023-09-21,2023-09-21,,,,Other,https://web.archive.org/web/20260522051153/https://www.straitstimes.com/singapore/jobs/foodpanda-cuts-staff-in-asia-pacific-amid-potential-partial-sale,Third round of layoffs within a year,confirmed,foodpanda-2023-09
Foodpanda,2026-06-02,2026-06-02,30,,,F&B,https://layoffsg.com/feed?event=6a3a9a82dfd5d573b9b29634,Foodpanda cut an estimated 30 jobs in Singapore per layoffsg.com/Insider report.,confirmed,foodpanda-2026-06
foodpanda,2022-09-05,2022-09-05,,,,Tech,https://news.google.com/rss/articles/CBMiakFVX3lxTE1zMzNOandNUTZwY28xNHlLLVhNUXA3dFU0MkZIV0VJUjNRZ01qemdYUWk4VWh1cFhRcVlwQ2M3eHNFUmVZMWJJbnhTNERiWW9QNXJENUJCZGVCQ3luRi0xZWtrU1pkWU9ZNFE?oc=5,"Tech in Asia reports foodpanda has slashed jobs in Southeast Asia, a move that affects its Singapore operations. No specific headcount for Singapore is provided.",confirmed,foodpanda-2022-09
PropertyGuru,2024-02-27,2024-02-27,,79,,Real Estate,https://web.archive.org/web/20260522051226/https://www.channelnewsasia.com/business/propertyguru-layoffs-174-workforce-close-3-business-units-4942666,Restructuring post-acquisition,confirmed,propertyguru-2024-02
PropertyGuru,2025-02-16,2025-02-16,174,,,Real Estate,https://vulcanpost.com/881416/propertyguru-lays-off-employees-closes-down-three-business-units/,PropertyGuru laid off 174 employees and closed three business units as part of a restructuring.,confirmed,propertyguru-2025-02
Grab,2023-06-20,2023-06-20,,,,Tech,https://web.archive.org/web/20260522051436/https://www.straitstimes.com/business/singapores-grab-cuts-1000-jobs-or-11-of-workforce,~1000 jobs cut across the group,confirmed,grab-2023-06
Grab,2025-03-28,2025-03-28,,,,Tech,https://news.google.com/rss/articles/CBMiswFBVV95cUxQSkVHWVdhdU5pMlVXV0RRZU9USzNXWXRvNXNCQXZtZk1DdFpjREJ1ZFlkN2VoYlhZeFRwU1dhZkY1ajN3RXlidmtpd05qbDU5bC1KanRhTGlUTGFzcncyR1BOT2Z5eFZ2NFh0UXdULTFIWlczMnc1b3JWYzN1SEx6UzdEbTFVUkpWNFJjQl9nYzBycXVkaVc0YllIcVlJT1FrUWxOcnY0X0UydG81Z09WRXJsdw?oc=5,"Grab quietly closed an office housing high-paid engineers, resulting in layoffs.",confirmed,grab-2025-03
Grab,2026-08-17,2026-08-17,,1000,,Tech,https://aljazeeranews-mggx1uo47w.edgeone.app/economy/2023/6/21/singapores-grab-fires-1000-in-biggest-layoffs-since-pandemic,"Grab, a Singapore-based company, announced layoffs of 1,000 employees, the largest since the pandemic. The report is credible and specific, indicating a confirmed layoff event.",confirmed,grab-2026-08
Lazada,2024-01-03,2024-01-03,,,,Tech,https://web.archive.org/web/20260522051840/https://sg.finance.yahoo.com/news/alibabas-regional-online-shopping-unit-183329743.html,Alibaba-owned e-commerce platform restructuring,confirmed,lazada-2024-01
Lazada,2026-06-23,2026-06-23,40,,5,Retail,https://www.straitstimes.com/business/lazada-cuts-5-of-south-east-asia-workforce-including-roles-in-singapore,"Lazada confirmed cutting 5% of its Southeast Asia workforce, including roles in Singapore, as reported by The Straits Times. The Singapore-specific estimate is 40 roles.",confirmed,lazada-2026-06
Lazada,2024-06-24,2024-06-24,,,,Tech,https://hrsea.economictimes.indiatimes.com/news/industry/lazada-cuts-jobs-amid-singapores-widespread-retrenchment-wave/131954125,"Article reports Lazada cutting jobs in Singapore amid a retrenchment wave, indicating a confirmed layoff event.",confirmed,lazada-2024-06
Agoda,2025-09-17,2025-09-17,50,,,Tech,https://web.archive.org/web/20260522052120/https://www.channelnewsasia.com/singapore/agoda-layoff-retrenchment-staff-travel-agency-severance-package-5353771,"Customer support roles cut in SG, Shanghai, Budapest; ~50 in SG affected",confirmed,agoda-2025-09
Dyson,2024-07-09,2024-07-09,,,,Manufacturing,https://web.archive.org/web/20260522052329/https://www.straitstimes.com/business/companies-markets/dyson-to-axe-around-1000-jobs-in-britain,Global restructuring affecting SG operations,confirmed,dyson-2024-07
Dyson,2024-10-01,2024-10-01,,,,Tech,https://news.google.com/rss/articles/CBMimwFBVV95cUxQa0JWZFFRTVhpem5jYTdRWko0aV80ODFCMm9yNEhkdGVNYXBzTW0xY3c3YjhySmRfVTU2SmIwNklLcldvQjFjME5CVFhyd0RGMGJ4MFgwU1B4M0FObGFJLVdSTEpLRXZTUWowcnkxaTdoOVZncktVR3pSMWpxdFctLW1neEVFYU8wRUdBeGN0bjlZZHJ1YW02ampDMA?oc=5,"CNA reports Dyson conducted surprise layoffs in Singapore, causing low morale.",confirmed,dyson-2024-10
Dyson,2019-10-11,2019-10-11,20,,,Manufacturing,https://news.google.com/rss/articles/CBMidEFVX3lxTFBScmNqZUt6VlgzajY5QXFJM0RCQ0tKSTlUa21YNmFXNVY0VWhmN3VXQjFiQm9mNDFXMlY0RU1UOWUtOUpGcUVld2FxMk9COG9qT2l6NjBiX19GTUF1R04wZVlDZmw4OTI4bW5KZXR6QzlITURT?oc=5,"Dyson scrapped its S$4.3 billion electric car project, closing its Singapore office and laying off about 20 staff.",confirmed,dyson-2019-10
Singtel,2024-10-15,2024-10-15,200,,,Other,https://web.archive.org/web/20260522052520/https://www.businesstimes.com.sg/companies-markets/singtel-job-cuts-digitisation-drive,Digitisation and automation drive,confirmed,singtel-2024-10
H&M,2026-05-13,2026-05-13,,,,Retail,https://web.archive.org/web/20260518023830/https://www.malaymail.com/news/money/2026/05/13/hm-to-move-south-east-asia-hub-to-kuala-lumpur-announces-layoffs-for-30pc-of-regional-support-headcount/219823,Moving SEA hub to KL; laying off ~30% of regional support headcount,confirmed,h-m-2026-05
H&M,2026-06-10,2026-06-10,,,,Retail,https://www.businesstimes.com.sg/pulse/article/9056892,"H&M is reported to be planning layoffs in Singapore, as per a Business Times article dated 2026-06-10, indicating a future event. | Evidence: https://www.malaymail.com/news/money/2026/05/13/hm-to-move-south-east-asia-hub-to-kuala-lumpur-announces-layoffs-for-30pc-of-regional-support-headcount/219823",confirmed,h-m-2026-05
H&M,2026-06-18,2026-06-18,,,,Retail,https://northcoastgreyhoundconnection.org/article/h-m-singapore-layoffs-southeast-asia-hq-moves-to-malaysia-job-cuts-retail-changes,"Article reports H&M moving SEA HQ to Malaysia, implying layoffs in Singapore; future plan, not confirmed. | Evidence: https://www.malaymail.com/news/money/2026/05/13/hm-to-move-south-east-asia-hub-to-kuala-lumpur-announces-layoffs-for-30pc-of-regional-support-headcount/219823",confirmed,h-m-2026-05
H&M,2026-06-26,2026-06-26,,,,Retail,https://trustingodagain.com/article/h-m-job-cuts-in-singapore-hq-moves-to-malaysia-what-it-means-for-employees-retail,"Article reports H&M moving HQ to Malaysia implying job cuts in Singapore, but source is a blog and the date is in the future, so classified as rumored. | Evidence: https://www.malaymail.com/news/money/2026/05/13/hm-to-move-south-east-asia-hub-to-kuala-lumpur-announces-layoffs-for-30pc-of-regional-support-headcount/219823",confirmed,h-m-2026-05
H&M,2026-07-15,2026-07-15,,,,Retail,https://cwxesllizsva.com/article/h-m-shuts-down-southeast-asia-hq-in-singapore-job-cuts-move-to-malaysia-explained,"H&M announced the shutdown of its Southeast Asia headquarters in Singapore, with operations moving to Malaysia, implying job losses in Singapore.",confirmed,h-m-closes-southeast-asia-hq-2026-07
H&M,2026-07-31,2026-07-31,,,,Retail,https://londonfogspin.com/article/h-m-shuts-down-southeast-asia-hq-in-singapore-job-cuts-move-to-malaysia-explained,"H&M is shutting down its Southeast Asia HQ in Singapore and relocating it to Kuala Lumpur, Malaysia, resulting in Singapore job cuts; exact headcount not disclosed.",confirmed,hm-2026-07
H&M,2026-08-14,2026-08-14,,,,Retail,https://leadbookingsystem.com/article/h-m-southeast-asia-hq-moves-to-malaysia-job-cuts-in-singapore,"Article reports H&M is moving its Southeast Asia headquarters from Singapore to Malaysia, resulting in job cuts in Singapore. No specific headcount provided; source credibility is low.",confirmed,h-m-southeast-asia-hq-relocation-2026
H&M,2026-08-24,2026-08-24,,,,Retail,https://leomare.org/article/h-m-shuts-down-southeast-asia-hq-in-singapore-job-cuts-move-to-malaysia-explained,"H&M is shutting down its Southeast Asia headquarters in Singapore, with job cuts and relocation to Malaysia. The closure implies job losses in Singapore, qualifying as a layoff event.",confirmed,hm-southeast-asia-hq-2026-08
H&M,2026-09-02,2026-09-02,,,,Retail,https://kenzototo1st.com/article/h-m-singapore-layoffs-southeast-asia-hq-moves-to-malaysia-job-cuts-retail-changes,"Reported job cuts in Singapore due to H&M moving its Southeast Asia HQ to Malaysia. Source is a low-credibility aggregator, but the headline states layoffs as fact and Singapore has clear nexus.",confirmed,h-and-m-2026-09
Sabre Asia Pacific,2026-02-18,2026-02-18,,,,Tech,https://web.archive.org/web/20260522052649/https://www.stomp.sg/singapore-seen/company-announces-layoffs-during-cny-employee-calls-it-insensitive-union-says-should,Retrenchments announced during CNY; 90% of affected staff notified by Feb 20; exact number unknown,confirmed,sabre-asia-pacific-2026-02
Meta,2026-05-20,2026-05-20,,,,Tech,https://web.archive.org/web/20260520135241/https://finance.yahoo.com/news/meta-begins-8000-global-job-cuts-in-asian-hub-of-singapore-004153264.html,"Layoffs executed May 20; 4am termination emails to SG staff first; ~8,000 global (~10% workforce); further H2 2026 cuts expected",confirmed,meta-2026-05
Meta,2025-10-17,2025-10-17,,,,Tech,https://web.archive.org/web/20260522054658/https://www.businesstimes.com.sg/pulse/article/5880862,BROKEN URL - Error 400,confirmed,meta-2025-10
Meta,2025-02-14,2025-02-14,,,,Tech,https://web.archive.org/web/20260522055006/https://www.straitstimes.com/business/companies-markets/meta-layoffs-hit-singapore-as-tech-giant-cuts-global-workforce,BROKEN URL - Error 400,confirmed,meta-2025-02
Meta,2022-11-11,2022-11-11,,,,Tech,https://web.archive.org/web/20260522060100/https://www.channelnewsasia.com/singapore/meta-facebook-layoffs-singapore-marketing-recruitment-jobs-3064301,2022 Meta SG layoffs,confirmed,meta-2022-11
Meta,2026-03-16,2026-03-16,,,,Tech,https://news.google.com/rss/articles/CBMisAFBVV95cUxNWmh2UHhJYk42Q2hyTzRVcWJRTjh6NFFINnJLV1p3UURiclhDUkx4LTU2UXRPMktNWTNJMmQtV19KNnRQSWJ1dUxBM0tUTEhxRGtkekhzQzVMdzdXenFCOE5ELUdrQzVvOVRjem1YbVJWY3R2UXRhS09fWnNOWWE0X0U1c2NJRVp4eUg1M3ZkV0xmWTQ2UktQeS13Z0hJblZ5Xy00QzJWNGRTV0tNSFZHOQ?oc=5,Reuters reports Meta plans layoffs of 20% or more; not yet confirmed by company. | Evidence: https://www.cnbc.com/2026/03/25/meta-layoffs-reality-labs-facebook.html,confirmed,meta-2026-03
Meta,2022-12-18,2022-12-18,,,,Other,https://news.google.com/rss/articles/CBMipgFBVV95cUxNQno0T3haaUlHeVZOTTlid1RaZWVVbnMxS2xzWE52a2k2UlRrdmNmU2NXcWNuY0ctN1ZNS1BsUkRZbjY2RUxyZjNWdkMwTEQ1LTBKMUxkbUhXR1UtR3BLZjNLYmpJTDFyQ291RXlXc1JFNlBMRC05TWZpOUl1aGRjWHlmNmFYZ05CWkNNR0tYT0M3bURTNENYdnotYk9IbUE1ejRGSzZB?oc=5,"Article reports Meta staff in Singapore on Employment Passes who faced layoffs, indicating confirmed job cuts at Meta's Singapore operations.",confirmed,meta-2022-singapore
Oracle,2026-03-31,2026-03-31,100,30000,18,Tech,https://sg.news.yahoo.com/live/oracle-lays-off-around-30000-staff-with-6am-email-getting-very-close-trumps-major-speech-on-iran-war-offers-few-specifics-singapore-live-news-020000956.html,"Oracle cut approximately 30,000 jobs worldwide (about 18% of its workforce) to fund AI data centre expansion, with an estimated 100 Singapore roles affected; the exact local breakdown was not disclosed.",confirmed,oracle-2026-03
Oracle,2026-05-04,2026-05-04,,,,Tech,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPcWJKQTZ5X3JqaWRHRVFSSWVzODdVNkp4Z0lMUGJBWjMyWHFBdm1pSXVzTlJ5UFE0LXRQVi1YY0VQOXNRZFcyUlpUQTNmZlJGaHlER1UtUDBJdHcwV21Kd1NZaWFaN25Xai1FUjhTVHVWUThORVNUNW5kQWJqeUtuSnY4M184TmJhSWNjSU5xNzBMaUJqSmVLRFV3RGNJUzZmRWV4clNVRV9VUE5KMmpmUkU0Vld6TGhlZ2t3?oc=5,Business Times report notes Oracle is anchoring APAC AI growth investment through Singapore even as layoff concerns loom; no confirmed cuts or headcount. | Evidence: https://news.google.com/rss/articles/CBMipwFBVV95cUxOMXF3VTJTMU04QW9ELV9sRXIycVJES2dMZldTQTQwUXZLNFhIbGlTT0JHaDJTaDZZOUZNczd6T1l0aTUtYkxYVXY4RWRoMmVMMWFKdHJxdFo5QnhCRkJxVXhPbHp6RkdUT1p3bU45dzVQUU9yRTFySzdpN2ZGTDcxNG1ERGpXRm9sdjc1Z1RPTnZld1JvWDRsc21sWGRqa2VTWlJGbDB3dw?oc=5,confirmed,oracle-2026-05
LinkedIn,2026-05-13,2026-05-13,,,,Tech,https://web.archive.org/web/20260517025157/https://www.straitstimes.com/business/companies-markets/linkedin-planning-to-lay-off-5-of-staff-in-latest-tech-sector-cuts-source-says,Planning to lay off ~5% of global staff; Singapore office affected | Evidence: https://www.pymnts.com/news/social-commerce/2026/linkedin-cuts-5-percent-of-staff-in-reorganization/,confirmed,linkedin-2026-05
Hengli Singapore,2026-05-12,2026-05-12,,,,Finance,https://web.archive.org/web/20260522053033/https://www.manifoldtimes.com/news/henglis-former-singapore-trading-arm-begins-staff-layoffs-ahead-of-potential-may-shutdown/,Former Hengli commodity trading arm begins layoffs ahead of potential May shutdown,confirmed,hengli-singapore-2026-05
Coinbase,2026-05-06,2026-05-06,,,14,Finance,https://web.archive.org/web/20260522053157/https://fintechnews.sg/131138/crypto/coinbase-layoffs/,CEO confirms 14% of global workforce cut amid AI shift; Singapore office affected,confirmed,coinbase-2026-05
Amazon,2026-05-07,2026-05-08,250,,10,Retail,https://sg.news.yahoo.com/live/amazon-cuts-singapore-jobs-as-fresh-grocery-delivery-shuts-down-local-influencer-arrested-after-man-allegedly-forced-to-strip-singapore-live-news-013954155.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cucGVycGxleGl0eS5haS8&guce_referrer_sig=AQAAAKSwQ5FPQgVWq_ZtCZqlvbJ_YkM43T6YPCN-TitcQfc-XmNdHnFd_iLr2YI6hC18qFm6i9zxGDPB2WFHNhDKAAwzWw3o-4ZL3T-9ugcOuqNkUQwJMqUjASHQluNd3xgKJkR_jc6OdS6KQhRes-uhAqPzJHBc71ROqsJ6geKnDk4t,"Follow-up coverage of Amazon's Singapore retail overhaul, including closure of Amazon Fresh and scaled-back fulfilment. The layoffs are underway, affecting fewer than 10% of staff. Reuses existing event ID.",confirmed,amazon-2026-05
Amazon,2026-07-02,2026-07-02,,,,Tech,https://sellercentral.amazon.sg/seller-forums/discussions/t/cf3f9c4c-6a84-4ab2-9b61-b51077d39bd6,"Amazon Singapore is shutting down its third-party marketplace on 6 July, implying layoffs. The announcement is from an Amazon seller forum, indicating a planned closure. | Evidence: https://www.channelnewsasia.com/singapore/amazon-singapore-layoffs-fresh-grocery-delivery-service-6106446",confirmed,amazon-2026-07
Amazon,2026-07-23,2026-07-23,,,,Tech,https://news.google.com/rss/articles/CBMiYEFVX3lxTE10Tm1LcF8zNjJSQXdCU3h0OFNPT2hRdFNaeXZ6N3ZNcVFRR1lRR0g0aE92aG9JMUhNUm40Z2V4cTZzSThJMjFhVE1zN3RpT3ZycmNHd3pTSHhLSVVSNGRnaQ?oc=5,"Amazon laid off staff from its artificial intelligence division, with reports indicating Singapore operations were among those affected; exact headcount not disclosed.",confirmed,amazon-2026-07
Amazon,2026-08-03,2026-08-03,,,,Retail,https://thenextweb.com/news/amazon-fresh-singapore-closure-july-2026-layoffs,"Amazon reportedly wound down its Amazon Fresh grocery operations in Singapore, shifting toward a cross-border e-commerce model instead; associated Singapore roles were affected but exact headcount undisclosed.",confirmed,amazon-2026-08
Amazon,2024-04-24,2024-04-24,,,,Tech,https://news.google.com/rss/articles/CBMizAFBVV95cUxNX2FYbGtKNXZpOUVUVm9iU0xzNTNPbGI5VUVzMnlFd3JFTW1VMTJaZW5BQjB2cDN1aEpYQUduUm1HelBTRzgtbkl5SXVhQS00UkQ0TnE0UWRoTXd5TUU3NVh0X0FDMENEbC1TZFZoOHpOMjAzZWRLVW9KTlRGdnozLXRMSGtXd3F3OFJOcXVLRnNaTGFSUkVUUmcwR184aEtNeHU5RTIxTHZrY1F3Ulk4dUNfWGYxXzY2dEFYT21kMl9CbEVzWnp6VDVrci0?oc=5,"The headline reports that Singapore-based Amazon executives are affected by job cuts, indicating an ongoing or recent layoff event at Amazon's Singapore operations. No specific headcount is provided.",confirmed,amazon-2024-04
JLL,2026-04-30,2026-04-30,20,,1,Real Estate,https://web.archive.org/web/20260501040835/https://www.straitstimes.com/business/jll-retrenches-some-singapore-staff-following-restructuring,Cut over 20 Singapore jobs (~1% of workforce) as part of global restructuring,confirmed,jll-2026-04
Knight Frank,2026-04-30,2026-04-30,,,,Real Estate,https://web.archive.org/web/20260522053433/https://www.businesstimes.com.sg/property/jll-singapore-cuts-over-20-jobs-or-1-workforce-knight-frank-singapore-also-lays-staff,Singapore office layoffs as part of restructuring; reported alongside JLL cuts,confirmed,knight-frank-2026-04
Knight Frank,2026-07-27,2026-07-27,,,,Real Estate,https://www.straitstimes.com/business/knight-frank-winds-down-real-estate-agency-unit-agents-to-move-to-orangetee-tie,"Knight Frank is winding down its real estate agency unit in Singapore, with agents moving to OrangeTee & Tie. This constitutes a confirmed closure with implied job losses.",confirmed,knight-frank-2026-07
PropertyLimBrothers,2026-04-15,2026-04-15,,,,Real Estate,https://web.archive.org/web/20260522053633/https://www.theedgesingapore.com/cityandcountry/singapore-news/propertylimbrothers-confirms-media-arm-layoffs-disputes-scale,Media arm layoffs confirmed; company disputes the scale of cuts,confirmed,propertylimbrothers-2026-04
PropertyLimBrothers,2026-07-27,2026-07-27,,,,Real Estate,https://8z9.thepostpedia.com/mobile/586d6299351.html,PropertyLimBrothers disputed media reports of roughly 90% staff cuts within its ~90-person media division following a leadership scandal; exact headcount not confirmed by the company. | Evidence: https://mothership.sg/2026/04/propertylimbrothers-media-lay-offs/,confirmed,propertylimbrothers-2026-07
Propertylimbrothers,2026-08-09,2026-08-09,,,,Real Estate,https://uwy.thepostpedia.com/banking/142c2899829.html,"Article reports Propertylimbrothers disputes layoff reports, indicating potential layoffs are rumored but not confirmed by the company.",rumored,propertylimbrothers-2026-08
PropertyLimBrothers,2026-08-21,2026-08-21,,,,Real Estate,https://mik.thepostpedia.com/education/586d6299351.html,"Article reports PropertyLimBrothers disputes layoff reports, indicating a rumored layoff event. No specific headcount disclosed; source credibility is low.",rumored,propertylimbrothers-2026-08
Yeo Hiap Seng,2026-03-31,2026-03-31,25,,9,Manufacturing,https://web.archive.org/web/20260520075344/https://www.businesstimes.com.sg/companies-markets/yeo-hiap-seng-cuts-9-singapore-headcount-it-moves-canning-operations-malaysia,Cutting 9% of Singapore headcount (25 workers) at Senoko facility; canning operations moving to Malaysia,confirmed,yeo-hiap-seng-2026-03
Yeo Hiap Seng,2024-12-19,2024-12-19,25,,,Manufacturing,https://news.google.com/rss/articles/CBMitAFBVV95cUxNd1I3Yy0wT3J2S01feVpCX2lFdjJtVDFKbENoWTBtVG9LVjlETUVWaGNrSk8tM2lPOV9ocXFScU1JLVlEa1NLQmo3WVNhNXZINkR0a3hsZHlBU2E1Vkh5X3BaMWk2ZDVGaFBEWTdOb2FYRGMxb19iTkJYY0V1SzFBazZIRXZ0TW5TMy12aFlSV0FIQjVtWmV6RzNuWGRobklyazl2NDRIdkc0WE5Nc0Z3cXd3UGI?oc=5,"Article states Yeo Hiap Seng lays off 25 employees, indicating a confirmed layoff event.",confirmed,oatly-yeos-plant-2024-12
Yeo Hiap Seng,2026-07-21,2026-07-21,25,,,F&B,https://dkpito.gpsaps.com/basketball/750f8399166.html,Company confirmed cutting 25 jobs in Singapore due to shifting can production to Malaysia.,confirmed,yeo-hiap-seng-2026-03
Yeo Hiap Seng,2026-08-21,2026-08-21,25,,,F&B,https://2z.longtermresidents.com/medical/861c9499044.html,"Reported that Yeo Hiap Seng has axed 25 jobs in Singapore as can production shifts to Malaysia. This is a specific, named company with Singapore operations, and the layoffs have already occurred.",confirmed,yeo-hiap-seng-2026-08-production-shift
Deliveroo,2026-03-09,2026-03-09,,,,Other,https://web.archive.org/web/20260522053753/https://www.ntuc.org.sg/dssu/news/NTUC-helps-Deliveroo-workers-secure-jobs-and-outstanding-earnings-after-Singapore-closure/,Closed Singapore operations entirely; NTUC helped workers secure new jobs and outstanding earnings,confirmed,deliveroo-2026-02
Deliveroo,2024-09-24,2024-09-24,,,,F&B,https://news.google.com/rss/articles/CBMivwFBVV95cUxPVXJ6eVdyRUMyS19kNUNqY1p5R3I1N1JGZ3ZwanpDS1puNlFlcGFkbjI4QklGSVd2WUhjazBQcHRQUHhMcU9QcFdIZC14RWxsR2VDS3BUazN2Y0xOMDJJNTdYaVRHeXpRXy1HSE0tbXlOMWZJOHBjUzhjNkxHZWFNX1BTZmVIWHZpNVBuVk0tMWFGX0ZEM2xPSWVNLVN2OVJaUmhyVG5UMVFkU2hBZUpKZ3ROU0VPZzhuZXZjandqcw?oc=5,Deliveroo Singapore shutting cloud kitchens due to high operating costs implies job cuts; confirmed by Business Times article.,confirmed,deliveroo-2024-09
Deliveroo,2026-02-25,2026-02-25,85,,,Tech,https://sg.news.yahoo.com/deliveroo-wind-down-operations-pore-064716433.html,"Deliveroo will wind down operations in Singapore, with its final day of service on March 4, 2026, affecting roughly 85 Singapore staff, following a strategic review by parent company DoorDash.",confirmed,deliveroo-2026-02
Deliveroo,2026-07-26,2026-07-26,,,,Tech,https://iqc.wicyjoa.com/breaking/121e9899780.html,"Deliveroo is winding down its Singapore operations entirely, with the final day of service reported as March 4, affecting Singapore staff.",confirmed,deliveroo-2026-07
